IndicatorID,Indicator,Definition,Rationale,Data source,Indicator production,Indicator source,Methodology,Standard population/values,Confidence interval details,Source of numerator,Definition of numerator,Source of denominator,Definition of denominator,Disclosure control,Caveats,Copyright,Data re-use,Links,Indicator number,Notes,Frequency,Rounding,Data quality,Indicator Content,Specific rationale,Unit,Value type,Year type,Polarity
848,Depression: % recorded prevalence,"The percentage of patients aged 18 and over with depression as recorded on practice disease registers as a proportion of the estimated list size of patients aged 18 and over.

Values for local authorities were obtained by allocating GP practices to local authority boundaries using the postcodes of the GP practices.","Women who have a history of mental health problems before becoming pregnant are at increased risk of certain mental health conditions during pregnancy and the year after childbirth. Therefore if there is a higher than average rate of mental health problems in your local general population, there may be a higher level of maternal mental health problems as well.As part of the Quality and Outcomes Framework GP practices have to produce a register of patients with depression. Major depressive disorder is increasingly seen as chronic and relapsing, resulting in high levels of personal disability, lost quality of life for patients, their family and carers, multiple morbidity, suicide, higher levels of service use and many associated economic costs.","Quality and Outcomes Framework (QOF).
http://content.digital.nhs.uk/qof",NA,"Quality and Outcomes Framework (QOF).
 http://content.digital.nhs.uk/qof",NA,NA,NA,"Quality and Outcomes Framework (QOF).
 http://content.digital.nhs.uk/qof","All patients aged 18 or over, diagnosed on or after 1 April 2006, who have an unresolved record of depression in their patient record.","Quality and Outcomes Framework (QOF).
http://content.digital.nhs.uk/qof",All patients aged 18 or over registered at a GP Practice in England.,NA,"This indicator is a measure of recorded prevalence and not actual prevalence and therefore under-reports groups who are less likely to be registered with a GP, such as ethnic minority populations, homeless people, migrants and travellers. QOF registers are constructed to underpin indicators on quality of care, and they do not necessarily equate to prevalence as may be defined by epidemiologists. Caution should be taken when interpreting this indicator as higher than average value may mean that the prevalence of the condition is high in an area, but it could also indicate that detection is better there; this is for local knowledge to determine.Caveat for Local Authority measure:The intended measure is a resident based measure at local authority geography. <g class=""gr_ gr_21 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-ins replaceWithoutSep"" id=""21"" data-gr-id=""21"">However the required base datasets are not available at the local authority level. Therefore a proxy registration based measure has been constructed which illustrates the proportion of individuals with depression in the registered <g class=""gr_ gr_13 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace replaceWithoutSep replaceWithoutSep"" id=""13"" data-gr-id=""13"">population apportioned to local authority geographies, based on the postcode of their GP practice.For local authorities that are geographically coterminous with CCGs, please note that values may not be the same as the CCG value.",NA,NA,There are many other metrics about adult mental health in other  http://fingertips.phe.org.uk/profile-group/mental-health,NA,NA,NA,NA,3,NA,NA,%,Proportion,Financial,RAG - Low is good
849,Heart failure w LVD: QOF prevalence (all ages),The percentage of patients with heart failure due to left ventricular dysfunction as recorded on practice disease records. The denominator is the total practice list size.,NA,QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,The number of patients with heart failure due to left ventricular dysfunction as recorded on practice disease records.,NA,Total practice list size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
90443,Osteoporosis: QOF prevalence (50+),"The percentage of patients with osteoporosis, as recorded on practice disease register, from all patients aged 50 or older.","<div style=""left: 92.7542px; top: 731.882px; font-size: 15.459px; font-family: sans-serif; transform: scaleX(0.999313);"">Osteoporotic fragility fractures can cause substantial pain and severe disability and are associated with decreased life expectancy. Osteoporotic fragility fractures occur most commonly in the spine (vertebrae), hip (proximal femur) and wrist (distal radius). They also occur in the arm (humerus), pelvis, ribs and other bones.","Quality Outcomes Framework (QOF), NHS Digital","Local Authority data was calculated by the Epidemiology and Surveillance, Public Health England","Quality Outcomes Framework (QOF), NHS Digital","The recorded osteoporosis prevalence is the estimated number of people with osteoporosis recorded on their practice register as a proportion of the practice list sizeaged 50 yrs+, allocated to a local authority boundary using the postcode of the practice.",NA,NA,"Quality Outcomes Framework (QOF), NHS Digital",Number of patients aged 50yrs+ on the osteporosis disease register,"Quality Outcomes Framework (QOF), NHS Digital",Estimated number of patients aged 50yrs+ registered with the practice,NA,Where local authority data is shown we have collated data for all those patients registered at GP practices within a given local authority. This may mean in a limited number of cases a patient may live outside a local authority but still be counted as within the local authority as the GP practice they attend is registered as within the given local authority. The reverse is also true that a patient may live within a local authority but attend a GP practice outside the lcoal authority and may be missed from the count.,NA,NA,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18,NA,NA,NA,NA,NA,NA,NA,%,Crude rate,Financial,RAG - Low is good
90581,Severe mental illness: % recorded prevalence,"The number of people registered with a GP and on the mental health register (people diagnosed with schizophrenia, bipolar disorder or other psychoses or on lithium therapy) expressed as a percentage of the total GP practice register population.","Women who have a history of mental health problems before becoming pregnant are at increased risk of certain mental health conditions during pregnancy and the year after childbirth. Therefore if there is a higher than average rate of mental health problems in your local general population, there may be a higher level of maternal mental health problems as well.As part of the Quality and Outcomes Framework practices have to produce a register of patients with schizophrenia, bipolar affective disorder and other psychoses. These patients should then receive a comprehensive care plan and receive health promotion and prevention advice appropriate to their age, gender and health status.","Quality and Outcomes Framework (QOF).
http://content.digital.nhs.uk/qof",NA,"Data for 2016/17 can be downloaded from http://digital.nhs.uk/catalogue/PUB30124
For other data years please find on the http://content.digital.nhs.uk/qof",County/Unitary Authority level prevalence is calculated by using GP postcodes to assign each practice to a County/Unitary Authority.,NA,NA,Data can be downloaded from http://content.digital.nhs.uk/qof,"Number of people on the QOF register for mental health, which includes people with schizophrenia, bipolar disorder or other psychoses or on lithium therapy. A patient is 'on lithium therapy' if they have a record of a prescription for lithium therapy in the preceding 6 months.",Data can be downloaded from http://content.digital.nhs.uk/qof,Total practice list size,NA,"Historically, patients have been added to the QOF mental health register for schizophrenia, bipolar affective disorder and other psychoses but over time it has become apparent that it may be appropriate to exclude some of them from the associated indicators because their illness is in remission. These patients can be excluded from the quality indicators but remain on the register.This indicator is a measure of recorded prevalence and not actual prevalence and therefore <g class=""gr_ gr_22 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling"" id=""22"" data-gr-id=""22"">under-reports groups who are less likely to be registered with a GP, such as ethnic minority populations, homeless people, migrants and travellers. QOF registers are constructed to underpin indicators on quality of care, and they do not necessarily equate to prevalence as may be defined by epidemiologists. Caution should be taken when interpreting this indicator as higher than average value may mean that the prevalence of the condition is high in an area, but it could also indicate that detection is better there; this is for local knowledge to determine.Caveat for Local Authority measure:The intended measure is a resident based measure at local authority geography. <g class=""gr_ gr_25 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-ins replaceWithoutSep"" id=""25"" data-gr-id=""25"">However the required base datasets are not available at the local authority level. Therefore a proxy registration based measure has been constructed which illustrates the proportion of individuals with depression in the registered <g class=""gr_ gr_21 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace replaceWithoutSep replaceWithoutSep"" id=""21"" data-gr-id=""21"">population apportioned to local authority geographies, based on the postcode of their GP practice.For local authorities that are geographically coterminous with CCGs, please note that values may not be the same as the CCG value.",NA,NA,There are many other metrics about adult mental health in other  http://fingertips.phe.org.uk/profile-group/mental-health,NA,NA,NA,NA,3,NA,NA,%,Proportion,Financial,RAG - Low is good
90600,People with SMI with a comprehensive care plan: % of people with SMI,"The percentage of patients with schizophrenia, bipolar affective disorder and other psychoseswho have a comprehensive care plan documented in the record, in the preceding 12 months, agreed between individuals, their family and/or carers as appropriate","This indicator reflects good professional practice and supported by NICE clinical guidelines.

Patients on the mental health register should have a documented primary care consultation that acknowledges, especially in the event of a relapse, a plan for care. This consultation may include the views of their relatives or carers where appropriate.

Up to half of people who have a serious mental illness are seen only in a primary care setting.

For these patients, it is important that the primary care team takes responsibility for discussing and documenting a care plan in their primary care record.",QOF (MH10),NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,"Quality and Outcomes Framework (QOF).
 http://content.digital.nhs.uk/qof","Patients on the mental health register who have a comprehensive care plan documented in the records agreed between individuals, their family and/or carers as appropriate","Quality and Outcomes Framework (QOF).
 http://content.digital.nhs.uk/qof","Number of people on the QOF (quality and outcomes framework) register for mental health, which includes patients with schizophrenia, bipolar affective disorder and other psychoses and other patients on lithium therapy. The denominator includes exceptions.",NA,"Comparative analysis of CCG-level QOF achievement, or prevalence, may be inappropriate without taking account of the underlying social and demographic characteristics of the populations concerned. The delivery of services may be related, for example, to population age/sex, ethnicity or deprivation characteristics that are not included in QOF data collection processes. The denominator for this indicator includes patients who are exception reported. Exception reporting was introduced into QOF in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect.",NA,NA,"Further indicators on severe mental illness can be found on<a href=""http://fingertips.phe.org.uk/profile-group/mental-health/profile/severe-mental-illness"">Severe Mental IllnessThis tool presents collated risk, prevalence, early intervention, assessment and treatment, outcomes and service costs data relating to people with psychosis and other forms of severe mental illness.",NA,Replaced MH 10,NA,NA,3,NA,NA,%,Proportion,Financial,RAG - High is good
90601,Patients with SMI with alcohol consumption check: % with record in preceding 12 months,"The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of alcohol consumption in the preceding 12 months","Substance misuse by people with schizophrenia is increasingly recognised as a major problem, both in terms of its prevalence and its clinical and social effects. The National Psychiatric Morbidity Survey in England found that 16 per cent of people with schizophrenia were drinking over the recommended limits of 21 units of alcohol for men and 14 units or alcohol for women a week.  Bipolar affective disorder is also highly comorbid with alcohol and other substance abuse.",QOF (MH12),NA,"Data for 2016/17 can be downloaded from  http://digital.nhs.uk/catalogue/PUB30124 .
For other data years please find on the  http://content.digital.nhs.uk/qof .",NA,NA,NA,NA,"Patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of alcohol consumption in the preceding 12 months",NA,"Number of people on the QOF (quality and outcomes framework) register for mental health, which includes patients with schizophrenia, bipolar affective disorder and other psychoses and other patients on lithium therapy. The denominator includes exceptions. Patients who are only on the register because they are on lithium are excluded from the denominator, as are patients in remission from severe mental illness.",NA,"Comparative analysis of CCG-level QOF achievement, or prevalence, may be inappropriate without taking account of the underlying social and demographic characteristics of the populations concerned. The delivery of services may be related, for example, to population age/sex, ethnicity or deprivation characteristics that are not included in QOF data collection processes. The denominator for this indicator includes patients who are exception reported. Exception reporting was introduced into QOF in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect.",NA,NA,NA,NA,NICE 2010 menu ID: NM15,NA,NA,3,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
90603,Patients with SMI with blood pressure check: % with record in preceding 12 months,"The percentage of patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of blood pressure in the preceding 12 months","People with schizophrenia have a mortality of between two and three times that of the general population and most of the excess deaths are from diseases that are the major causes of death in the general population. A recent prospective record linkage study of the mortality of a community cohort of 370 people with schizophrenia found that the increased mortality risk is probably life-long, and it suggested that the cardiovascular mortality of schizophrenia has increased over the past 25 years relative to the general population. The NICE clinical guideline on bipolar disorder also states that the standardised mortality ratio for cardiovascular death may be twice that of the general population but appears to be reduced if patients adhere to long term medication.
There is evidence to suggest that physical conditions such as cardiovascular disorders go unrecognised in psychiatric patients. A direct comparison of cardiovascular screening (blood pressure, lipid levels and smoking status) of people with asthma, people with schizophrenia and other attendees indicated that practices were less likely to screen people with schizophrenia for cardiovascular risk compared with the other two groups.
Recording (and treating) cardiovascular risk factors are therefore very important for people with a serious mental illness.",QOF (MH13),NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Patients with schizophrenia, bipolar affective disorder and other psychoses who have a record of blood pressure in the preceding 12 months",NA,"Number of people on the QOF (quality and outcomes framework) register for mental health, which includes patients with schizophrenia, bipolar affective disorder and other psychoses and other patients on lithium therapy. The denominator includes exceptions. Patients who are only on the register because they are on lithium are excluded from the denominator, as are patients in remission from severe mental illness.",NA,NA,NA,NA,NA,NA,NICE ID: NM17; Definition changed for QOF 2013/14: period reduced from 15 to 12 mnths,NA,NA,3,NA,NA,%,Proportion,Financial,RAG - High is good
90604,Female patients with SMI who had cervical screening test: % tested in preceding 5 years,"The percentage of women aged from 25 to 64 years with schizophrenia, bipolar affective disorder and other psychoses whose notes record that a cervical screening test has been performed in the preceding 5 years","A report by the Disability Rights Commission based on the primary care records of 1.7 million primary care patients found that women with schizophrenia were less likely to have had a cervical sample taken in the previous five years compared with the general population. This did not apply to patients with bipolar affective disorder. This finding may reflect an underlying attitude that such screening is less appropriate for women with schizophrenia.

This indicator therefore encourages practices to ensure that women with schizophrenia, bipolar affective disorder or other psychoses are given cervical screening according to devolved national guidelines.",QOF (MH16),NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Female patients aged from 25 to 64 years with schizophrenia, bipolar affective disorder and other psychoses whose notes record that a cervical screening test has been performed in the preceding 5 years",NA,"Number of females aged 25 to 64 years on the QOF (quality and outcomes framework) register for mental health, which includes patients with schizophrenia, bipolar affective disorder and other psychoses and other patients on lithium therapy. Patients who are only on the register because they are on lithium are excluded from the denominator as are patients in remission from serious mental illness, patients outside the age range, male patients and patients with a hysterectomy or equivalent .",NA,NA,NA,NA,NA,NA,NICE ID: NM20,NA,NA,3,NA,NA,%,Proportion,Financial,RAG - High is good
90605,Patients on lithium therapy with record of serum creatinine and TSH: % with record in the preceding 9 months,The percentage of patients on lithium therapy with a record of serum creatinine and TSH in the preceding 9 months,"It is important to check thyroid and renal function regularly in patients taking lithium, since there is a much higher than normal incidence rate of hypothyroidism and hypercalcaemia, and of abnormal renal function tests in patients on lithium. Overt hypothyroidism has been found in between 8 and 15% of people on lithium.

The NICE clinical guideline on bipolar disorder recommends that practitioners should check thyroid function every six months together with levels of thyroid antibodies if clinically indicated (for example, by the thyroid function tests). It also recommends that renal function tests should be carried out every six months and more often if there is evidence of impaired renal function.",QOF (MH17),NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,The number of patients on lithium therapy with a record of serum creatinine and TSH in the preceding nine months. A patient is 'on lithium therapy' if they have a record of a prescription for lithium therapy in the preceding 6 months.,NA,"Number of people on the QOF (quality and outcomes framework) register for mental health (schizophrenia, bipolar disorder or other psychoses) on lithium therapy. A patient is 'on lithium therapy' if they have a record of a prescription for lithium therapy in the preceding 6 months. The denominator includes exceptions.",NA,"Comparative analysis of CCG-level QOF achievement, or prevalence, may be inappropriate without taking account of the underlying social and demographic characteristics of the populations concerned. The delivery of services may be related, for example, to population age/sex, ethnicity or deprivation characteristics that are not included in QOF data collection processes. The denominator for this indicator includes patients who are exception reported. Exception reporting was introduced into QOF in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect.",NA,NA,NA,NA,NICE ID: NH 21,NA,NA,3,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
90606,Patients on lithium therapy with levels in therapeutic range: % within preceding 4 months,The percentage of patients on lithium therapy with a record of lithium levels in the therapeutic range within the preceding 4 months,"Lithium monitoring is essential due to the narrow therapeutic range of serum lithium and the potential toxicity from intercurrent illness, declining renal function or co-prescription of drugs, for example thiazide diuretics or non-steroidal anti-inflammatory drugs (NSAIDS), which may reduce lithium excretion.",QOF (MH18),NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,The number of patients on lithium therapy with a record of lithium levels in the therapeutic range in the preceding four months. A patient is 'on lithium therapy' if they have a record of a prescription for lithium therapy in the preceding 6 months. The therapeutic range is between 0.4 and 1.0,NA,"Number of people on the QOF (quality and outcomes framework) register for mental health (schizophrenia, bipolar disorder or other psychoses) on lithium therapy. A patient is 'on lithium therapy' if they have a record of a prescription for lithium therapy in the preceding 6 months. The denominator includes exceptions.",NA,"Comparative analysis of CCG-level QOF achievement, or prevalence, may be inappropriate without taking account of the underlying social and demographic characteristics of the populations concerned. The delivery of services may be related, for example, to population age/sex, ethnicity or deprivation characteristics that are not included in QOF data collection processes. The denominator for this indicator includes patients who are exception reported. Exception reporting was introduced into QOF in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect.",NA,NA,NA,NA,NICE ID: NM22,NA,NA,3,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
90609,COPD007: Influenza immunisation given 1 Aug - 31 Mar (den. incl. exc.),The percentage of patients with COPD who have had influenza immunisation in the preceding 1 August to 31 March.,"This is a current recommendation from the Departments of Health, the Scottish Government for Scotland, and the JCVI.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients on the COPD register who have had an influenza vaccination administered in the preceding 1 August to 31 March.,NA,The number of patients on the COPD register (exceptions included),NA,NA,NA,NA,NA,NA,This indicator is a direct successor of indicator COPD006(2013/14) and COPD 8 which had a slightly different timeframe (1Sep to 31Mar),NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90610,COPD004: Record of FEV1 in last 12mths (den. incl. exc.),The percentage of patients with COPD with a record of FEV1 in the previous 15 months.,"There is a gradual deterioration in lung function in patients with COPD. This deterioration accelerates with the passage of time. There are important interventions which can improve quality of life in patients with severe COPD. It is therefore important to monitor respiratory function in order to identify patients who might benefit from pulmonary rehabilitation or continuous oxygen therapy.

NICE clinical guideline 101 recommends that FEV1 and inhaler technique should be assessed at least annually for people with mild/moderate/severe COPD (and in fact at least twice a year for people with very severe COPD). The purpose of regular monitoring is to identify patients with increasing severity of disease who may benefit from referral for more intensive treatments/diagnostic review.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients on the COPD register who have had their FEV1 measured in the preceding 12 months.,NA,The number of patients on the COPD register (including exceptions),NA,NA,NA,NA,NA,NA,"Previously COPD 10, renamed and period changed from 15 to 12 months in QOF 2013/14",NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90611,COPD003: assessed using MRC dyspnoea score last 12mths (den. incl. exc.),"The percentage of patients with COPD who have had a review, undertaken by a healthcare professional, including an assessment of breathlessness using the MRC dyspnoea score in the preceding 12 months. The denominator is the number of patients on the COPD register (exceptions included).","COPD is increasingly recognised as a treatable disease with large improvements in symptoms, health status, exacerbation rates and even mortality if managed appropriately.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Number of patients who have had a review, undertaken by a healthcare professional, including an assessment of breathlessness using the MRC dyspnoea score in the preceding 12 months.",NA,The number of patients on the COPD register (exceptions included).,NA,NA,NA,NA,NA,NA,"Previously COPD 13, renamed and period changed from 15 to 12 months in QOF 2013/14",NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90612,COPD002: Diagnosis conf. by spirometry (den. incl. exc.),The percentage of all patients with COPD diagnosed after 1 April 2011 in whom the diagnosis had been confirmed by post bronchodilator spirometry between 3 months before and 12 months after entering on to the register,"A diagnosis of COPD relies on clinical judgement based on a combination of history, physical examination and confirmation of the presence of airflow obstruction using spirometry.

NICE clinical guidelines provide the following definition of COPD:

airflow obstruction is defined as a reduced FEV1/FVC ratio (where FEV1 is forced expired volume in one second and FVC is forced vital capacity), such that FEV1/FVC is less than 0.7
if FEV1 is greater than or equal to 80 per cent predicted normal a diagnosis of COPD should only be made in the presence of respiratory symptoms, for example breathlessness or cough.


The NICE guidelines require post bronchodilator spirometry for diagnosis and gradation of severity of airways obstruction. Failure to use post bronchodilator readings has been shown to overestimate the prevalence of COPD by 25 per cent. Spirometry should be performed after the administration of an adequate dose of an inhaled bronchodilator (e.g. 400mcg salbutamol).",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients with COPD diagnosed after 1 April 2011 in whom the diagnosis had been confirmed by post bronchodilator spirometry,NA,Patients on the disease register with COPD diagnosed after 1 April 2011,NA,NA,NA,NA,NA,NA,Replaced COPD15 which had previously replaced COPD12,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90613,"AST002: with measures of variability/reversibility (8+), den. incl. exc.","The percentage of patients aged 8 years and over, diagnosed as having asthma from 1 April 2006, with measures of variability or reversibility recorded between 3 months before and anytime after diagnosis","Accurate diagnosis is fundamental in order to avoid untreated symptoms as a result of underdiagnosis, and inappropriate treatment as a result of over-diagnosis. Both scenarios have implications both to the health of the patient and the cost of providing healthcare. National and international guidelines emphasise the importance of demonstrating variable lung function in order to confirm the diagnosis of asthma. Variability of PEF and FEV1, either spontaneously over time or in response to therapy is a characteristic feature of asthma.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients aged eight years or over diagnosed as having asthma after 1 April 2006 with measures of variability or reversibility.,NA,Total number of patients on the asthma register aged 8+ years (exceptions included),NA,NA,NA,NA,Replaced Asthma 8,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
90614,"AST003: review in the last 12 months (incl. an assessment using the 3 RCP questions), den. incl. exc.","The percentage of patients with asthma who have had an asthma review in the preceding 12 months that includes an assessment of asthma control using the 3 RCP questions.
NICE ID: NM23","Structured care has been shown to produce benefits for patients with asthma. The recording of morbidity, PEF levels, inhaler technique and current treatment and the promotion of selfmanagement skills are common themes of good structured care. SIGN/BTS proposes a structured system for recording inhaler technique, morbidity, PEF levels, current treatment and asthma action plans.

National and international guidelines recommend the use of standard questions for the monitoring of asthma. Proactive structured review, as opposed to opportunistic or unscheduled review, is associated with reduced exacerbation rate and days lost from normal activity.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients on the asthma register who have had an asthma review in the previous 15 months that includes an assessment of asthma control using the 3 RCP questions.,NA,Total number of patients on the asthma register (exceptions included),NA,NA,NA,NA,NA,NA,"ASTHMA 6 was renumbered to ASTHMA 9 as ""that includes an assessment of asthma control using the 3 RCP questions"" has been added to the definitions.For QOF 2013/14 the indicator was renamed to AST003 and the period was changed from 15 to 12 months.Nice Id: NM23",NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90615,Asthma in 14-19 year olds in whom there is a record of smoking status in last 12 mths,The percentage of patients with asthma between the ages of 14 and 19 years in whom there is a record of smoking status in the preceding 12 months.,"Many young people start to smoke at an early age. It is therefore justifiable to ask about smoking on an annual basis in this age group.

The number of studies of smoking related to asthma are surprisingly few in number. Starting smoking as a teenager increases the risk of persisting asthma. There are very few studies that have considered the question of whether smoking affects asthma severity. One controlled cohort study suggested that exposure to passive smoke at home delayed recovery from an acute attack. There is also epidemiological evidence that smoking is associated with poor asthma control.

It is recommended that smoking cessation be encouraged as it is good for general health and may decrease asthma severity.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients on the asthma register between the ages of 14 and 19 years where smoking status has been recorded in the preceding 12 months.,NA,Total number of patients on the asthma register aged 14-19 years,NA,NA,NA,NA,NA,NA,For QOF 2013/14 the indicator was renamed as AST004and the period changed from 15 to 12 months. It replaces Asthma 10 which had previously replaced Asthma 3.,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90616,"SMOK002: status recorded in last 12 mths (certain conditions), den.incl.exc.","The percentage of patients with any or any combination of the following conditions: coronary heart disease, PAD, stroke or TIA, hypertension, diabetes, COPD, CKD, asthma, schizophrenia, bipolar affective disorder or other psychoses whose notes record smoking status in the preceding 12 months; NICE ID: NM38",NA,QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For QOF 2013/14 SMOK002 replaced Smoking 5 and the period was changed from 15 to 12 months.,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - High is good
90617,Smokers on GP registers (certain conditions) offered cessation support and treatment: % within preceding 12 months,"The percentage of patients with any or any combination of the following conditions: coronary heart disease, PAD, stroke or TIA, hypertension, diabetes, COPD, CKD, asthma, schizophrenia, bipolar affective disorder or other psychoses who smoke whose notes contain a record of an offer of support and treatment within the preceding 12 months; NICE 2011 menu ID: NM39","Many strategies have been used to help people to stop smoking. A meta-analysis of controlled trials in patients post myocardial infarction showed that a combination of individual and group smoking cessation advice, and assistance reinforced on multiple occasions – initially during cardiac rehabilitation and reinforced by primary care teams – gave the highest success rates. A number of studies have shown benefits from the prescription of nicotine replacement therapy or buproprion in patients who have indicated a wish to quit smoking.
The recording of advice given does not necessarily reflect the quality of the intervention. It is therefore proposed that only smoking advice should be part of the reporting framework. Clinicians may choose to record advice given in relation to other modifiable risk factors.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Total number of patients on any of the following registers - coronary heart disease, PAD, stroke or TIA, hypertension, diabetes, COPD, CKD, asthma, schizophrenia, bipolar affective disorder or other psychoses - whose notes contain a record of an offer of support and treatment within the preceding 12 months",NA,"Patients with any or any combination of the following conditions: coronary heart disease, PAD, stroke or TIA, hypertension, diabetes, COPD, CKD, asthma, schizophrenia, bipolar affective disorder or other psychoses who smoke.",NA,"This indicator relates to people with a range of conditions, not just severe mental illness. Note that each of the different registers cover different age ranges. Comparative analysis of CCG-level QOF achievement, or prevalence, may be inappropriate without taking account of the underlying social and demographic characteristics of the populations concerned. The delivery of services may be related, for example, to population age/sex, ethnicity or deprivation characteristics that are not included in QOF data collection processes.",NA,NA,NA,NA,"For QOF 2013/14 renamed from Smoking 6 and period changed from 15 to 12 months.
Nice Id: NM39",NA,NA,3,NA,NA,%,Proportion,Financial,RAG - High is good
